Model,RMSE,MAE,R2
LSTM,488.4022169007778,348.9361839539129,0.7418285926203418
TCN,494.35304369970777,358.67496849536394,0.7354990026636913
GRU,541.6249798981816,394.7828758968914,0.6824952251121694
Bi-LSTM,486.69196636001186,357.0350676075008,0.743633517748614
LSTM-FC,442.17378957206546,319.97920227725297,0.7883886877494538
Transformer,422.78034334278965,288.8842929861719,0.8065438844097051
Informer,379.4189598995191,280.596190521258,0.8441915714333181
LSTM-Transformer,352.9765286269207,256.54554020657775,0.8651519891684715
